geometry/coordinates/0,geometry/coordinates/1,geometry/type,properties/Google Maps URL,properties/Location/Address,properties/Location/Business Name,properties/Location/Country Code,properties/Location/Geo Coordinates/Latitude,properties/Location/Geo Coordinates/Longitude,properties/Published,properties/Title,properties/Updated,type
126.7925802,37.6722871,Point,http://maps.google.com/?cid=5991884827753448136,대한민국 경기도 고양시 일산동구 풍산동 애니골길 52,가나안덕,KR,37.6722871,126.7925802,2022-05-28T09:18:49Z,가나안덕,2022-05-28T09:18:49Z,Feature
126.9143464,37.5903119,Point,http://maps.google.com/?cid=12824127788009311237,대한민국 서울특별시 은평구 응암동 불광천길 366,오레노라멘 은평점,KR,37.5903119,126.9143464,2022-03-05T09:56:39Z,오레노라멘 은평점,2022-03-05T09:56:39Z,Feature
126.9236963,37.5549967,Point,http://maps.google.com/?cid=5766603300319164026,대한민국 서울특별시 마포구 와우산로23길 52,하카타나카,KR,37.5549967,126.9236963,2022-02-27T07:56:49Z,하카타나카,2022-02-27T07:56:49Z,Feature
127.9362275,26.6034728,Point,"http://maps.google.com/?q=26.603473,127.936228",,,,26.6034728,127.9362275,2018-11-05T11:22:03Z,"26.603473,127.936228",2022-02-26T14:22:06Z,Feature
126.9487099,37.5395831,Point,http://maps.google.com/?cid=13781938605933845406,대한민국 서울특별시 마포구 도화동 269번지 1층,아소비바,KR,37.5395831,126.9487099,2022-02-04T05:03:31Z,아소비바,2022-02-04T05:03:31Z,Feature
126.4344048,35.8000403,Point,http://maps.google.com/?cid=17756324117223020667,대한민국 전라북도 군산시 옥도면 무녀도리 102,해들목펜션,KR,35.8000403,126.4344048,2022-01-08T01:46:27Z,해들목펜션,2022-01-08T01:46:27Z,Feature
126.9547228,37.5469203,Point,http://maps.google.com/?cid=15175980231453437700,대한민국 서울특별시 마포구 공덕동 242-6번지,멘카야,KR,37.5469203,126.9547228,2021-12-29T03:53:11Z,멘카야,2021-12-29T03:53:11Z,Feature
126.9201893,37.5493583,Point,http://maps.google.com/?cid=12267075150193494929,대한민국 서울특별시 마포구 서교동 독막로9길 26,야키토리 나루토,KR,37.5493583,126.9201893,2021-05-15T10:33:01Z,야키토리 나루토,2021-05-15T10:33:01Z,Feature
126.9504185,37.3902025,Point,http://maps.google.com/?cid=17646825978214096985,대한민국 경기도 안양시 동안구 시민대로 180 롯데백화점 평촌점 10층,끌레드쉐프 롯데백화점평촌점,KR,37.3902025,126.9504185,2020-07-29T05:25:16Z,끌레드쉐프,2020-07-29T05:25:16Z,Feature
126.9800923,37.5656193,Point,http://maps.google.com/?cid=18267443925277423568,대한민국 서울특별시 중구 을지로 30 롯데호텔서울 Main Tower 1층,라세느,KR,37.5656193,126.9800923,2020-07-29T02:17:12Z,라세느,2020-07-29T02:17:12Z,Feature
126.9158363,37.59137,Point,http://maps.google.com/?cid=9347596411691882869,대한민국 서울특별시 은평구 가좌로 244,테이블도트,KR,37.5913700,126.9158363,2020-07-23T09:48:05Z,테이블도트,2020-07-23T09:48:05Z,Feature
135.7726717,34.9671402,Point,http://maps.google.com/?cid=8870624639634301673,"68 Fukakusa Yabunouchicho, Fushimi Ward, Kyoto, 612-0882 일본",후시미 이나리 신사,JP,34.9671402,135.7726717,2019-10-28T01:00:19Z,후시미 이나리 신사,2019-10-28T01:00:19Z,Feature
126.9220046,37.5525965,Point,http://maps.google.com/?cid=729491984992833823,대한민국 서울특별시 마포구 와우산로21길 36-6,혼가츠,KR,37.5525965,126.9220046,2019-06-10T12:00:15Z,혼가츠,2019-06-10T12:00:15Z,Feature
135.7775204,35.029743,Point,"http://maps.google.com/?q=35.029743,135.777520",,,,35.0297430,135.7775204,2017-07-02T11:03:04Z,"35.029743,135.777520",2019-06-08T09:56:12Z,Feature
